0: int -> T_Int | line -> 1
3: whitespace -> T_Whitespace | line -> 1
4: test_function -> T_Id | line -> 1
17: ( -> T_LP | line -> 1
18: int -> T_Int | line -> 1
21: whitespace -> T_Whitespace | line -> 1
22: a -> T_Id | line -> 1
23: , -> T_Comma | line -> 1
24: whitespace -> T_Whitespace | line -> 1
25: int -> T_Int | line -> 1
28: whitespace -> T_Whitespace | line -> 1
29: b -> T_Id | line -> 1
30: , -> T_Comma | line -> 1
31: whitespace -> T_Whitespace | line -> 1
32: bool -> T_Bool | line -> 1
36: whitespace -> T_Whitespace | line -> 1
37: c -> T_Id | line -> 1
38: ) -> T_RP | line -> 1
39: whitespace -> T_Whitespace | line -> 1
40: { -> T_LC | line -> 1
41: whitespace -> T_Whitespace | line -> 1
42: whitespace -> T_Whitespace | line -> 2
43: whitespace -> T_Whitespace | line -> 2
44: whitespace -> T_Whitespace | line -> 2
45: whitespace -> T_Whitespace | line -> 2
46: whitespace -> T_Whitespace | line -> 2
47: bool -> T_Bool | line -> 2
51: whitespace -> T_Whitespace | line -> 2
52: e -> T_Id | line -> 2
53: ; -> T_Semicolon | line -> 2
54: whitespace -> T_Whitespace | line -> 2
55: whitespace -> T_Whitespace | line -> 3
56: whitespace -> T_Whitespace | line -> 3
57: whitespace -> T_Whitespace | line -> 3
58: whitespace -> T_Whitespace | line -> 3
59: whitespace -> T_Whitespace | line -> 3
60: e -> T_Id | line -> 3
61: whitespace -> T_Whitespace | line -> 3
62: = -> T_Assign | line -> 3
63: whitespace -> T_Whitespace | line -> 3
64: 10 -> T_Decimal | line -> 3
66: ; -> T_Semicolon | line -> 3
67: whitespace -> T_Whitespace | line -> 3
68: whitespace -> T_Whitespace | line -> 4
69: } -> T_RC | line -> 5
70: whitespace -> T_Whitespace | line -> 5
71: int -> T_Int | line -> 6
74: whitespace -> T_Whitespace | line -> 6
75: main -> T_Id | line -> 6
79: ( -> T_LP | line -> 6
80: ) -> T_RP | line -> 6
81: { -> T_LC | line -> 6
82: whitespace -> T_Whitespace | line -> 6
83: whitespace -> T_Whitespace | line -> 7
84: } -> T_RC | line -> 8
